DP_X,DP_Y,Baseline_X,Baseline_Y,Fit_X,Fit_Y,NDH_X,NDH_Y
11.25,0.003814,,,,,,
11.266667,0.003674,,,,,,
11.283333,0.003553,,,,,,
11.3,0.003582,,,,,,
11.316667,0.003511,,,,,,
11.333333,0.003531,,,,,,
11.35,0.00349,,,,,,
11.366667,0.003159,,,,,,
11.383333,0.002718,,,,,,
11.4,0.002557,,,,,,
11.416667,0.002505,,,,,,
11.433333,0.002652,,,,,,
11.45,0.002659,,,,,,
11.466667,0.002656,,,,,,
11.483333,0.002753,,,,,,
11.5,0.002541,,,,,,
11.516667,0.002488,,,,,,
11.533333,0.002595,,,,,,
11.55,0.002702,,,,,,
11.566667,0.002489,,,,,,
11.583333,0.002416,,,,,,
11.6,0.002494,,,,,,
11.616667,0.002381,,,,,,
11.633333,0.002288,,,,,,
11.65,0.002185,,,,,,
11.666667,0.002152,,,,,,
11.683333,0.0024,,,,,,
11.7,0.002937,,,,,,
11.716667,0.003154,,,,,,
11.733333,0.003071,,,,,,
11.75,0.003068,,,,,,
11.766667,0.003025,,,,,,
11.783333,0.002793,,,,,,
11.8,0.00248,,,,,,
11.816667,0.002207,,,,,,
11.833333,0.002134,,,,,,
11.85,0.001991,,,,,,
11.866667,0.001928,,,,,,
11.883333,0.001956,,,,,,
11.9,0.001993,,,,,,
11.916667,0.00205,,,,,,
11.933333,0.002065,,,,,,
11.95,0.00212,,,,,,
11.966667,0.002296,,,,,,
11.983333,0.002341,,,,,,
12,0.002107,,,,,,
12.016667,0.001742,,,,,,
12.033333,0.001567,,,,,,
12.05,0.001503,,,,,,
12.066667,0.001558,,,,,,
12.083333,0.001823,,,,,,
12.1,0.002019,,,,,,
12.116667,0.002224,,,,,,
12.133333,0.002709,,,,,,
12.15,0.003015,,,,,,
12.166667,0.00312,,,,,,
12.183333,0.003055,,,,,,
12.2,0.003051,,,,,,
12.216667,0.003036,,,,,,
12.233333,0.003092,,,,,,
12.25,0.003157,,,,,,
12.266667,0.003172,,,,,,
12.283333,0.003388,,,,,,
12.3,0.003523,,,,,,
12.316667,0.003368,,,,,,
12.333333,0.003304,,,,,,
12.35,0.003279,,,,,,
12.366667,0.003264,,,,,,
12.383333,0.0033,,,,,,
12.4,0.003295,,,,,,
12.416667,0.00331,,,,,,
12.433333,0.003156,,,,,,
12.45,0.002969,,,,,,
12.466667,0.003073,,,,,,
12.483333,0.003337,,,,,,
12.5,0.003501,,,,,,
12.516667,0.003595,,,,,,
12.533333,0.003628,,,,,,
12.55,0.003482,,,,,,
12.566667,0.003366,,,,,,
12.583333,0.00331,,,,,,
12.6,0.003364,,,,,,
12.616667,0.003417,,,,,,
12.633333,0.003341,,,,,,
12.65,0.003305,,,,,,
12.666667,0.003339,,,,,,
12.683333,0.003313,,,,,,
12.7,0.003186,,,,,,
12.716667,0.00298,,,,,,
12.733333,0.002804,,,,,,
12.75,0.002588,,,,,,
12.766667,0.002462,,,,,,
12.783333,0.002305,,,,,,
12.8,0.002069,,,,,,
12.816667,0.002023,,,,,,
12.833333,0.001997,,,,,,
12.85,0.002021,,,,,,
12.866667,0.002054,,,,,,
12.883333,0.002118,,,,,,
12.9,0.001942,,,,,,
12.916667,0.001776,,,,,,
12.933333,0.00172,,,,,,
12.95,0.001813,,,,,,
12.966667,0.001776,,,,,,
12.983333,0.001628,,,,,,
13,0.001771,,,,,,
13.016667,0.001863,,,,,,
13.033333,0.001926,,,,,,
13.05,0.002188,,,,,,
13.066667,0.002311,,,,,,
13.083333,0.002313,,,,,,
13.1,0.002336,,,,,,
13.116667,0.002328,,,,,,
13.133333,0.002321,,,,,,
13.15,0.002383,,,,,,
13.166667,0.002366,,,,,,
13.183333,0.002348,,,,,,
13.2,0.002391,,,,,,
13.216667,0.002663,,,,,,
13.233333,0.002956,,,,,,
13.25,0.003148,,,,,,
13.266667,0.003201,,,,,,
13.283333,0.003313,,,,,,
13.3,0.003496,,,,,,
13.316667,0.003558,,,,,,
13.333333,0.003661,,,,,,
13.35,0.003513,,,,,,
13.366667,0.003406,,,,,,
13.383333,0.003518,,,,,,
13.4,0.003551,,,,,,
13.416667,0.003624,,,,,,
13.433333,0.003566,,,,,,
13.45,0.003429,,,,,,
13.466667,0.003411,,,,,,
13.483333,0.003622,,,,,,
13.5,0.003824,,,,,,
13.516667,0.003965,,,,,,
13.533333,0.003867,,,,,,
13.55,0.003678,,,,,,
13.566667,0.003689,,,,,,
13.583333,0.003731,,,,,,
13.6,0.003902,,,,,,
13.616667,0.003934,,,,,,
13.633333,0.003975,,,,,,
13.65,0.003947,,,,,,
13.666667,0.003948,,,,,,
13.683333,0.00383,,,,,,
13.7,0.003621,,,,,,
13.716667,0.003293,,,,,,
13.733333,0.002904,,,,,,
13.75,0.002836,,,,,,
13.766667,0.003027,,,,,,
13.783333,0.003079,,,,,,
13.8,0.00291,,,,,,
13.816667,0.002722,,,,,,
13.833333,0.002623,,,,,,
13.85,0.002585,,,,,,
13.866667,0.002316,,,,,,
13.883333,0.001968,,,,,,
13.9,0.002069,,,,,,
13.916667,0.001941,,,,,,
13.933333,0.001932,,,,,,
13.95,0.001824,,,,,,
13.966667,0.001755,,,,,,
13.983333,0.001676,,,,,,
14,0.001707,,,,,,
14.016667,0.001738,,,,,,
14.033333,0.002018,,,,,,
14.05,0.002039,,,,,,
14.066667,0.00178,,,,,,
14.083333,0.001551,,,,,,
14.1,0.001481,,,,,,
14.116667,0.001542,,,,,,
14.133333,0.001723,,,,,,
14.15,0.001713,,,,,,
14.166667,0.001494,,,,,,
14.183333,0.001325,,,,,,
14.2,0.001036,,,,,,
14.216667,0.000866,,,,,,
14.233333,0.000907,,,,,,
